Platform,ad_id,reporting_start,reporting_end,campaign_id,fb_campaign_id,age,gender,interest1,interest2,interest3,impressions,clicks,spent,total_conversion,approved_conversion,CTR (%),CPC,CPM,CPA,Reporting_Start_Year,Reporting_Start_Month,Reporting_Start_Weekday,Reporting_End_Year,Reporting_End_Month,Reporting_End_Weekday,Row_ID,DataQuality
,708746,17/08/2017,17/08/2017,916,103916,30-34,M,15,17,17,7350,1,1.429999948,2,1,0.01%,143.00%,19.46%,71.50%,,,,,,,,
,708749,17/08/2017,17/08/2017,916,103917,30-34,M,16,19,21,17861,2,1.820000023,2,0,0.01%,91.00%,10.19%,91.00%,,,,,,,,
,708771,17/08/2017,17/08/2017,916,103920,30-34,M,20,25,22,693,0,0,1,0,0.00%,0.00%,0.00%,0.00%,,,,,,,,
,708815,30/08/2017,30/08/2017,916,103928,30-34,M,28,32,32,4259,1,1.25,1,0,0.02%,125.00%,29.35%,125.00%,,,,,,,,
,708818,17/08/2017,17/08/2017,916,103928,30-34,M,28,33,32,4133,1,1.289999962,1,1,0.02%,129.00%,31.21%,129.00%,,,,,,,,
,708820,17/08/2017,17/08/2017,916,103929,30-34,M,29,30,30,1915,0,0,1,1,0.00%,0.00%,0.00%,0.00%,,,,,,,,
,708889,17/08/2017,17/08/2017,916,103940,30-34,M,15,16,17,15615,3,4.769999981,1,0,0.02%,159.00%,30.55%,477.00%,,,,,,,,
,708895,17/08/2017,17/08/2017,916,103941,30-34,M,16,20,18,10951,1,1.269999981,1,1,0.01%,127.00%,11.60%,127.00%,,,,,,,,
,708953,17/08/2017,17/08/2017,916,103951,30-34,M,27,31,31,2355,1,1.5,1,0,0.04%,150.00%,63.69%,150.00%,,,,,,,,
,708958,30/08/2017,30/08/2017,916,103952,30-34,M,28,32,31,9502,3,3.159999967,1,0,0.03%,105.33%,33.26%,316.00%,,,,,,,,
,708979,30/08/2017,30/08/2017,916,103955,30-34,M,31,37,34,1224,0,0,1,0,0.00%,0.00%,0.00%,0.00%,,,,,,,,
,709023,29/08/2017,29/08/2017,916,103962,30-34,M,7,8,8,735,0,0,1,0,0.00%,0.00%,0.00%,0.00%,,,,,,,,
,709038,29/08/2017,29/08/2017,916,103965,30-34,M,16,20,22,5117,0,0,1,0,0.00%,0.00%,0.00%,0.00%,,,,,,,,
,709040,29/08/2017,29/08/2017,916,103965,30-34,M,16,19,21,5120,0,0,1,0,0.00%,0.00%,0.00%,0.00%,,,,,,,,
,709059,30/08/2017,30/08/2017,916,103968,30-34,M,20,26,23,14669,7,10.28000021,1,1,0.05%,146.86%,70.08%,1028.00%,,,,,,,,
